Country,HDI,latitude,longitude,Life expectancy,Mean years of schooling,Gross national income (GNI) per capita,Gender Development Index value,Mean years of schooling Female,Mean years of schooling Male,Estimated gross national income per capita Female,Estimated gross national income per capita Male,Share of seats in parliament (% held by women),Population with at least some secondary education % (2005-2015) Female,Population with at least some secondary education % (2005-2015) Male,Labour force participation rate (% ages 15 and older) Female,Population Average annual growth 2000/2005 (%),Population Average annual growth 2010/2015 (%),Population Urban 2015 %,Population Median age (years) 2015,Dependency Ration Young age (0-14) /(per 100 people ages 15-64),Dependency Ratio Old age (65 and older) /(per 100 people ages 15-64),Total fertility rate (birth per woman) 2000/2005,Total fertility rate (birth per woman) 2000/2007,Infants exclusively breastfed (% ages 0-5 months) 2010-2015,Infants lacking immunization DTP (% of one-year-olds),Infants lacking immunization Measles (% of one-year-olds),Child malnutrition Stunting (moderate or severe) 2010-2015,"Mortality rates Infant (per 1,000 live births) 2015","Mortality rates Under-five (per 1,000 live births) 2015","Mortality rates Female Adult (per 1,000 live births) 2014","Mortality rates Male Adult (per 1,000 live births) 2014","Deaths due to Malria (per 100,000 people)","Deaths due to Tuberculosis (per 100,000 people)","HIV prevalence, adult (% ages 15-49)",Life expectancy at age 59 (years) 2010/2015,"Physicians  (per 10,000 people) 2001-2014",Public health expenditure (% of GDP) 2014,Employment to population ratio (% ages 15 and older),Labour force participation rate (% ages 15 and older),Employment in agriculture (% of total employment) 2010-2014,Employment in services (% of total employment) 2010- 2014,Total Unemployment (% of labour force) 2015,Unemployment Youth (% ages 15-24) 2010-2014,Unemployment Youth not in school or employment (% ages 15-24) 2010-2014,Vulnerable employment (% of total employment) 2005-2014,Working poor at PPP$3.10 a day (%) 2004-2013,Old-age pension recipients  (% of statutory pension age population) 2004-2013,Internet users (% 2010 -2015),Coefficient of human inequality,Inequality in life expectancy (%) 2010-2015,Inequality-adjusted life expectancy index,Child labour  (% ages 5-14) 2009-2015,Inequality in education(%),Inequality in income (%),Mandatory paid maternity leave (days)
Rwanda,0.498,-1.97642,29.9799,64.7,3.8,1617,0.992,3.3,4.4,1428,1822,57.5,10.5,16.4,86.4,2.3,2.4,28.8,19.2,73.1,5.0,5.4,4.1,87.3,1,2,37.9,31.1,41.7,178,296,33.2,6.4,2.9,17.9,0.6,2.9,82.9,84.9,75.3,16.2,2.4,3.0,,77.7,82.1,4.7,115.2,31.8,29.8,0.483,29,29.3,36.4,84
Comoros,0.497,-12.2104,44.4132,63.6,4.8,1335,0.817,3.7,5.6,715,1945,3.0,,,35.3,2.4,2.4,28.3,19.7,70.7,4.9,5.2,4.6,12.1,17,20,32.1,55.1,73.5,204,254,70.4,7.5,,16.2,1.5,2.2,46.2,57.4,,,19.6,37.7,,,25.3,,126.5,44.8,30.9,0.463,22,47.6,56.0,98
Lesotho,0.497,-29.6153,28.1644,50.1,6.1,3319,0.962,7.0,5.3,2631,4020,24.8,23.6,22.5,59.2,0.7,1.2,27.3,21.0,60.3,6.9,3.8,3.3,66.9,3,8,33.2,69.2,90.2,599,581,,64.0,22.7,15.5,0.5,8.1,48.1,66.4,,,27.5,37.6,,17.4,64.6,100.0,114.7,34.9,33.5,0.308,23,24.3,47.0,84
Senegal,0.494,14.4924,-14.6587,66.9,2.8,2250,0.886,2.1,3.6,1706,2814,42.7,10.2,19.2,45.0,2.7,3.1,43.7,18.0,82.1,5.5,5.4,5.2,33.0,6,20,19.4,41.7,47.2,160,227,59.5,21.0,0.5,16.6,0.6,2.4,51.7,57.1,46.1,22.4,9.3,13.1,,58.0,63.8,23.5,55.1,32.5,25.0,0.541,15,44.7,27.7,98
Haiti,0.493,18.9804,-72.2836,63.1,5.2,1657,,3.9,6.6,1370,1950,3.5,25.7,38.7,61.5,1.6,1.4,58.6,23.0,54.8,7.5,4.0,3.1,39.7,28,47,21.9,52.2,69.0,215,277,5.1,20.0,1.7,17.8,,1.6,61.7,66.3,,,6.9,17.4,,,60.5,1.0,72.9,39.2,30.9,0.458,24,38.3,48.4,42
Uganda,0.493,1.33054,32.6722,59.2,5.7,1670,0.878,4.5,6.8,1266,2075,35.0,25.9,32.1,82.3,3.3,3.3,16.1,15.9,97.3,5.0,6.7,5.9,63.2,11,18,34.2,37.7,54.6,283,346,57.9,12.0,7.1,17.3,1.2,1.8,81.9,85.0,71.9,20.2,3.6,6.0,5.9,78.9,60.6,6.6,33.5,30.8,35.7,0.388,16,29.4,27.3,84
Sudan,0.490,15.4635,29.7732,63.7,3.5,3846,0.839,3.0,4.1,1902,5775,31.0,13.7,18.8,24.3,2.6,2.2,33.8,19.4,72.1,5.9,5.3,4.5,55.4,1,14,38.2,47.6,70.1,197,254,16.5,21.0,0.3,17.8,2.8,1.8,41.6,48.1,44.6,40.1,13.6,22.5,,,27.6,4.6,69.8,,31.8,0.459,25,42.7,,56
Togo,0.487,8.66582,1.00758,60.2,4.7,1262,0.841,3.2,6.3,1116,1412,17.6,23.1,36.1,81.1,2.7,2.7,40.0,18.7,76.8,5.0,5.3,4.7,57.5,9,18,27.5,52.3,78.4,256,289,82.8,8.8,2.4,15.1,0.5,2.0,74.6,80.9,,,7.7,12.2,9.0,89.1,65.7,10.9,57.4,31.6,32.4,0.418,28,38.9,23.5,98
Benin,0.485,9.30495,2.28363,59.8,3.5,1979,0.858,2.8,4.3,1673,2287,7.2,15.8,30.8,70.0,3.3,2.7,44.0,18.6,76.7,5.3,5.8,4.9,41.4,16,37,34.0,64.2,99.5,223,270,79.6,9.8,1.1,15.6,0.6,2.3,70.9,71.7,45.1,44.0,1.1,2.3,20.0,87.7,65.7,9.7,15.1,37.1,37.0,0.385,15,44.8,29.4,98
Yemen,0.482,15.7848,47.485,64.1,3.0,2300,0.737,1.9,4.2,1045,3530,0.5,15.6,33.2,25.8,2.8,2.6,34.6,19.3,70.7,4.9,6.0,4.4,10.3,6,25,46.5,33.8,41.9,201,245,10.0,4.4,0.1,16.3,2.0,1.3,41.7,49.6,24.7,56.2,15.9,30.1,48.1,29.6,50.5,8.5,39.6,32.7,29.4,0.478,23,48.1,20.6,70
Afghanistan,0.479,33.9328,65.181,60.7,3.6,1871,0.609,1.6,5.8,511,3148,27.4,8.8,35.4,19.1,4.3,3.0,26.7,17.5,82.3,4.6,7.2,5.1,,18,34,40.9,66.3,91.1,238,281,0.2,44.0,0.1,15.7,2.7,2.9,47.5,52.5,,,9.6,19.9,,,89.8,10.7,71.2,30.4,35.7,0.403,29,44.8,10.8,90
Malawi,0.476,-13.2754,33.7376,63.9,4.4,1073,0.921,3.8,5.0,972,1175,16.7,14.9,24.2,81.2,2.6,3.1,16.3,17.2,87.9,6.7,6.1,5.3,70.2,3,15,42.4,43.4,64.0,262,279,62.9,17.0,9.1,18.8,0.2,6.0,75.5,81.0,64.1,28.5,6.7,8.9,16.7,,87.6,4.1,70.2,31.1,32.7,0.454,39,28.2,32.5,56
Côte d'Ivoire,0.474,7.5407,-5.69909,51.9,5.0,3163,0.814,3.9,6.1,2136,4155,9.2,16.6,32.7,52.4,1.9,2.4,54.2,18.4,77.9,5.6,5.7,5.1,12.1,22,37,29.6,66.6,92.6,388,424,70.6,,3.2,14.1,1.4,1.7,60.6,67.0,,,9.5,13.7,,79.0,53.9,7.7,45.1,37.4,39.7,0.296,26,45.1,27.4,98
Djibouti,0.473,11.8155,42.4934,62.3,4.1,3216,,,,1981,4441,12.7,,,36.5,1.5,1.3,77.3,23.6,51.9,6.6,4.2,3.3,1.3,7,29,33.5,54.2,65.3,230,277,27.9,120.0,1.6,17.5,2.3,6.8,24.1,52.3,,,53.9,,,,,12.0,74.6,33.7,32.5,0.439,8,47.0,21.7,98
Gambia,0.452,13.4421,-14.3524,60.5,3.3,1541,0.878,2.6,4.2,1296,1790,9.4,25.3,39.1,72.2,3.2,3.2,59.6,16.8,89.7,4.5,5.9,5.8,46.8,2,4,24.5,47.9,68.9,237,291,83.7,18.0,1.8,15.2,0.4,5.0,54.0,77.3,31.5,54.6,30.1,44.4,,60.5,,10.8,49.2,,31.3,0.428,19,,26.9,180
Ethiopia,0.448,9.17219,38.9442,64.6,2.6,1523,0.842,1.5,3.7,1161,1886,37.3,10.8,20.7,77.0,2.8,2.5,19.5,18.6,75.2,6.3,6.1,4.6,52.0,14,30,40.4,41.4,59.2,203,255,48.1,33.0,,17.8,0.2,2.9,78.4,83.0,72.7,19.9,5.5,7.6,1.1,88.8,75.3,9.0,443.4,25.5,30.3,0.478,27,36.6,9.5,90
Mali,0.442,17.9864,-0.775526,58.5,2.3,2218,0.786,1.7,3.0,1349,3071,8.8,7.3,16.2,50.1,3.1,3.0,39.9,16.2,95.1,5.0,6.9,6.4,37.8,20,20,38.5,74.5,114.7,263,258,92.1,11.0,1.3,15.2,0.8,1.6,60.6,66.2,,,8.5,10.7,13.5,82.9,80.0,5.7,162.4,32.7,40.4,0.353,21,41.6,16.1,98
Dem. Rep. Congo,0.435,-4.04213,22.4323,59.1,6.1,680,0.832,4.0,8.1,599,761,8.2,14.5,35.0,70.5,3.1,3.2,42.5,16.9,90.1,5.8,7.0,6.2,47.6,19,23,42.6,74.5,98.3,241,290,106.6,69.0,0.8,16.6,1.1,1.6,68.4,71.1,,,3.8,6.2,,,85.3,15.0,178.8,31.7,39.1,0.366,38,27.7,28.2,98
Liberia,0.427,6.46912,-9.69921,61.2,4.4,683,0.830,3.1,6.0,575,788,10.7,17.3,39.7,58.0,2.5,2.6,49.7,18.6,77.4,5.5,5.7,4.8,55.2,26,42,32.1,52.8,69.9,231,269,69.2,68.0,1.1,15.4,0.1,3.2,58.4,60.9,46.5,41.2,4.2,4.9,14.5,78.7,89.0,,104.3,32.9,33.1,0.424,21,42.9,22.7,90
Guinea-Bissau,0.424,11.7938,-14.3512,55.5,2.9,1369,,,,1139,1603,13.7,,,67.2,2.1,2.4,49.3,19.4,72.8,5.7,5.6,5.0,52.5,8,31,27.6,60.3,92.5,252,306,96.2,63.0,,15.0,0.5,1.1,67.2,72.7,,,7.6,12.4,,,79.4,6.2,62.3,39.1,44.6,0.302,38,40.3,32.5,60
Eritrea,0.420,15.1892,38.0907,64.2,3.9,1490,,,,1286,1693,22.0,,,77.7,3.4,2.2,22.6,18.6,78.4,4.8,5.1,4.4,68.7,3,4,50.3,34.1,46.5,228,295,3.6,14.0,0.6,15.4,0.5,1.5,76.9,83.9,,,8.4,13.0,,,69.0,,118.5,,25.9,0.504,,,,60
Sierra Leone,0.420,8.45588,-11.888,51.3,3.3,1529,0.871,2.6,4.2,1354,1708,12.4,16.8,29.7,65.0,4.4,2.2,39.9,18.5,77.1,4.9,6.0,4.8,32.0,12,22,37.9,87.1,120.4,399,407,108.7,45.0,1.3,13.0,0.2,1.9,64.5,66.8,,,3.4,5.3,,,81.4,0.9,157.5,36.6,43.4,0.273,37,47.3,19.2,84
Mozambique,0.418,-18.6326,34.6755,55.5,3.5,1098,0.879,2.5,4.6,1016,1184,39.6,2.8,8.0,82.5,2.9,2.8,32.2,17.1,88.2,6.5,5.8,5.5,41.0,7,15,43.1,56.7,78.5,382,425,71.4,67.0,10.5,17.0,0.4,3.9,61.5,79.1,,,22.3,37.8,10.1,,90.9,17.3,146.3,32.9,36.4,0.347,22,33.8,28.4,60
South Sudan,0.418,7.85784,29.1178,56.1,4.8,1882,,4.0,5.3,,,24.3,,,71.2,3.8,4.1,18.8,18.6,77.3,6.4,6.0,5.2,45.1,51,78,31.1,60.3,92.6,321,348,55.4,29.0,2.5,16.4,,1.1,,73.2,,,,,,,,,65.1,,40.7,0.330,,39.6,,56
Guinea,0.414,9.93115,-9.67642,59.2,2.6,1058,0.784,1.5,3.9,848,1267,21.9,,,79.5,1.9,2.7,37.2,18.5,78.2,5.6,5.9,5.1,20.5,40,48,31.3,61.0,93.7,260,285,104.8,29.0,1.6,15.0,1.0,2.7,80.9,82.3,74.8,19.3,1.8,1.2,,89.8,72.5,8.8,137,33.6,35.4,0.390,28,48.3,17.1,98
Burundi,0.404,-3.38269,29.916,57.1,3.0,691,0.919,2.6,3.6,632,752,37.8,7.1,9.6,84.6,3.2,3.3,12.1,17.6,85.0,4.7,6.9,6.1,69.3,2,6,57.5,54.1,81.7,267,327,63.7,23.0,1.0,16.4,0.3,4.0,82.4,83.7,,,1.5,2.9,,93.7,93.5,4.0,154.3,30.6,40.8,0.338,26,36.9,14.1,84
Burkina Faso,0.402,12.235,-1.2058,59.0,1.4,1537,0.874,1.0,2.0,1278,1800,9.4,6.0,11.5,76.6,2.9,2.9,29.9,17.0,87.6,4.6,6.4,5.6,50.1,5,12,32.9,60.9,88.6,250,279,103.3,9.1,0.8,15.1,0.5,2.6,81.1,83.5,,,2.9,4.7,,89.6,80.5,3.2,119.6,33.3,37.1,0.377,39,38.6,24.2,98
Chad,0.396,15.4431,18.5405,51.9,2.3,1991,0.765,1.2,3.4,1581,2400,14.9,1.7,9.9,64.0,3.8,3.3,22.5,16.0,95.8,4.9,7.2,6.3,0.3,40,46,39.9,85.0,138.7,346,388,152.6,23.0,2.0,15.7,0.4,2.0,67.6,71.6,,,5.6,8.3,,,67.0,1.6,63.8,39.6,46.2,0.264,26,41.9,30.7,98
Niger,0.353,18.0691,9.90298,61.9,1.7,889,0.732,1.1,2.3,481,1292,13.3,3.6,8.4,40.2,3.7,4.0,18.7,14.8,107.5,5.5,7.7,7.6,23.3,11,28,43.0,57.1,95.5,203,239,131.1,18.0,0.5,16.0,0.2,3.2,62.9,64.7,,,2.8,3.9,,84.8,85.1,6.1,101.4,27.5,35.3,0.417,31,35.0,12.3,98
Central African Republic,0.352,6.59964,20.624,51.5,4.2,587,0.776,2.8,5.7,482,696,12.5,12.3,29.8,71.7,1.7,2.0,40.0,20.0,68.4,6.8,5.3,4.4,34.3,31,51,40.7,91.5,130.1,382,423,114.9,48.0,3.7,15.8,0.5,2.1,72.1,78.0,,,7.6,12.3,,,81.3,,-9.2,43.1,45.7,0.263,29,34.5,49.2,98
