Major,S1C1GSK,S1C1CE,Wksp,S1C2GSK,S1C2CE,S2C1CE,S2C1GSK
FILM,FM,S&P,DM,MM,B&C,O&C,SCTT
HCD,DM,S&P,DM,FM,B&C,P&I,SCTT
VCSB,FM,P&I,MM,DM,O&C,B&C,SCTT
IAIDP,FM,P&I,MM,DM,C&P,B&C,SCTT
BSSD,DM,P&I,DM,FM,O&C,B&C,SCTT
IADP,FM,S&P,FM,DM,F&S,B&C,SCTT
DMA,FM,O&C,FM,MM,P&I,F&S,SCTT
CAP,FM,O&C,MM,DM,P&I,F&S,SCTT
PSD,DM,O&C,FM,MM,C&P,F&S,SCTT
IADP,FM,C&P,FM,DM,O&C,F&S,SCTT
CE,FM,C&P,FM,MM,B&C,F&S,SCTT
VCSB,FM,C&P,MM,DM,B&C,F&S,SCTT
HCD,FM,P&I,DM,MM,C&P,F&S,SCTT
IADP,DM,F&S,FM,MM,S&P,O&C,SCTT
IAIDP,MM,F&S,FM,DM,C&P,O&C,SCTT
CE,MM,P&I,FM,DM,S&P,O&C,SCTT
DMA,FM,P&I,FM,MM,C&P,O&C,SCTT
HCD,MM,B&C,DM,FM,O&C,P&I,SCTT
IAIDP,MM,O&C,FM,DM,F&S,P&I,SCTT
0,0,0,0,0,0,P&I,SCTT
FILM,MM,F&S,DM,FM,S&P,P&I,SCTT
PSD,FM,C&P,FM,DM,B&C,P&I,SCTT
IAIDP,MM,F&S,FM,DM,S&P,B&C,VTT
IADP,MM,F&S,FM,DM,S&P,B&C,VTT
CAP,FM,C&P,MM,DM,O&C,B&C,VTT
DMA,DM,S&P,FM,MM,F&S,B&C,VTT
BSSD,FM,O&C,DM,MM,F&S,B&C,VTT
HCD,DM,P&I,DM,FM,C&P,F&S,VTT
PSD,MM,S&P,FM,DM,B&C,F&S,VTT
HCD,DM,C&P,DM,FM,B&C,F&S,VTT
DMA,FM,B&C,FM,MM,O&C,F&S,VTT
FILM,FM,S&P,DM,MM,B&C,F&S,VTT
CE,DM,B&C,FM,MM,O&C,F&S,VTT
VCSB,FM,B&C,MM,DM,O&C,F&S,VTT
DMA,DM,P&I,FM,MM,C&P,F&S,VTT
HCD,FM,P&I,DM,MM,C&P,F&S,VTT
CE,FM,B&C,FM,MM,O&C,F&S,VTT
PSD,DM,S&P,FM,MM,F&S,O&C,VTT
IAIDP,DM,F&S,MM,FM,C&P,O&C,VTT
IADP,MM,C&P,FM,DM,B&C,O&C,VTT
VCSB,FM,B&C,DM,MM,P&I,O&C,VTT
VCSB,DM,S&P,MM,FM,B&C,P&I,VTT
BSSD,FM,O&C,DM,MM,P&I,B&C,VTT
IADP,DM,P&I,FM,MM,C&P,B&C,VTT
VCSB,DM,S&P,MM,FM,O&C,B&C,VTT
CE,FM,P&I,FM,DM,F&S,B&C,VTT
CE,FM,S&P,FM,MM,B&C,F&S,VTT
VCSB,FM,O&C,DM,MM,P&I,F&S,VTT
IAIDP,FM,P&I,MM,DM,S&P,F&S,VTT
PSD,FM,B&C,FM,DM,P&I,F&S,VTT
FILM,FM,B&C,DM,MM,C&P,F&S,VTT
HCD,DM,P&I,DM,FM,C&P,F&S,VTT
VCSB,DM,B&C,MM,FM,O&C,F&S,VTT
FILM,FM,P&I,DM,MM,S&P,O&C,VTT
BSSD,FM,P&I,DM,MM,S&P,O&C,VTT
CE,DM,S&P,FM,MM,F&S,O&C,VTT
HCD,MM,S&P,DM,FM,F&S,O&C,VTT
IAIDP,MM,F&S,FM,DM,P&I,O&C,VTT
PSD,DM,F&S,FM,MM,S&P,P&I,VTT
DMA,FM,B&C,FM,MM,O&C,P&I,VTT
IADP,FM,O&C,FM,DM,F&S,P&I,VTT
DMA,MM,F&S,FM,DM,B&C,P&I,VTT
CE,FM,P&I,FM,DM,C&P,B&C,VTT
IADP,DM,F&S,FM,MM,C&P,B&C,VTT
DMA,FM,B&C,FM,DM,O&C,F&S,VTT
VCSB,DM,B&C,MM,FM,O&C,F&S,VTT
IAIDP,DM,B&C,MM,FM,P&I,F&S,VTT
IAIDP,MM,O&C,FM,DM,P&I,F&S,VTT
HCD,FM,O&C,DM,MM,P&I,F&S,VTT
DMA,FM,P&I,FM,MM,C&P,F&S,VTT
FILM,MM,S&P,DM,FM,B&C,F&S,VTT
DMA,DM,F&S,FM,MM,S&P,O&C,VTT
HCD,FM,P&I,DM,MM,S&P,O&C,VTT
CE,DM,B&C,FM,MM,P&I,O&C,VTT
HCD,FM,O&C,DM,MM,C&P,P&I,VTT
CAP,MM,B&C,MM,FM,O&C,P&I,VTT
PSD,MM,S&P,FM,DM,F&S,P&I,VTT
IADP,DM,C&P,FM,MM,O&C,P&I,VTT
PSD,MM,S&P,FM,DM,F&S,P&I,VTT
VCSB,MM,S&P,DM,FM,B&C,P&I,VTT
BSSD,FM,S&P,DM,MM,B&C,P&I,VTT
VCSB,FM,F&S,DM,MM,S&P,P&I,VTT
CE,FM,O&C,FM,MM,P&I,B&C,VTT
IADP,FM,P&I,FM,DM,O&C,B&C,VTT
HCD,FM,P&I,DM,MM,C&P,B&C,VTT
VCSB,DM,P&I,MM,FM,O&C,F&S,VTT
DMA,FM,B&C,FM,MM,O&C,F&S,VTT
IADP,DM,C&P,FM,MM,O&C,F&S,VTT
DMA,MM,P&I,FM,DM,C&P,F&S,VTT
IADP,FM,S&P,FM,DM,O&C,F&S,VTT
PSD,FM,P&I,FM,DM,F&S,O&C,VTT
IADP,FM,P&I,FM,DM,S&P,O&C,VTT
VCSB,MM,F&S,DM,FM,P&I,O&C,VTT
CAP,DM,B&C,MM,FM,P&I,O&C,VTT
CE,DM,P&I,FM,MM,F&S,O&C,VTT
PSD,FM,S&P,FM,DM,F&S,P&I,VTT
IAIDP,MM,S&P,FM,DM,B&C,P&I,VTT
FILM,MM,C&P,DM,FM,B&C,P&I,VTT
BSSD,FM,O&C,DM,MM,F&S,P&I,VTT
CW,MM,O&C,FM,DM,C&P,P&I,VTT
FILM,MM,S&P,DM,FM,O&C,P&I,VTT
DMA,DM,S&P,FM,MM,F&S,B&C,VTT
IADP,MM,S&P,FM,DM,F&S,B&C,VTT
BSSD,DM,O&C,DM,FM,C&P,B&C,VTT
CE,MM,O&C,FM,DM,P&I,F&S,VTT
HCD,DM,B&C,DM,FM,O&C,F&S,VTT
