long,lat,group,order,region,subregion,Cases,Incidence_avg,Incidence_alt,PopulationAvg,n_tower,Cent_lon,Cent_lat
-76.1059875488281,42.2957458496094,54,1680,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.1059875488281,42.2900161743164,54,1681,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.0945205688477,42.2842826843262,54,1682,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.0945205688477,42.2785568237305,54,1683,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.0773391723633,42.2728271484375,54,1684,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.0830688476563,42.2556381225586,54,1685,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.0887908935547,42.2499084472656,54,1686,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.0773391723633,42.2441787719727,54,1687,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.0773391723633,42.2327194213867,54,1688,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.0716094970703,42.2269897460938,54,1689,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.0716094970703,42.2098007202148,54,1690,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.0830688476563,42.2098007202148,54,1691,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.0887908935547,42.186882019043,54,1692,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
-76.1117172241211,42.186882019043,54,1693,new york,tioga,11,4.5333162374697,4.51480239530789,48728.6,16,-76.3056288017452,42.1739062355521
