xlabel,.id,DISEASE,ventile,ventile_lab,n
Pneumonia,2015-2019,Legionnaires,6,4780,236
Pneumonia,2015-2019,Legionnaires,7,5070,231
Pneumonia,2015-2019,Legionnaires,8,5280,214
Pneumonia,2015-2019,Legionnaires,9,5490,186
Pneumonia,2015-2019,Legionnaires,10,5690,244
Pneumonia,2015-2019,Legionnaires,11,5900,230
Pneumonia,2015-2019,Legionnaires,12,6130,213
Pneumonia,2015-2019,Legionnaires,13,6320,187
Pneumonia,2015-2019,Legionnaires,14,6510,236
Pneumonia,2015-2019,Legionnaires,15,6690,236
Pneumonia,2015-2019,Legionnaires,16,6860,230
Pneumonia,2015-2019,Legionnaires,17,7060,227
Pneumonia,2015-2019,Legionnaires,18,7340,226
Pneumonia,2015-2019,Legionnaires,19,7760,166
Pneumonia,2015-2019,Legionnaires,20,11000,129
Heart,2000-2004,Legionnaires,1,2580,38
Heart,2000-2004,Legionnaires,2,3340,51
Heart,2000-2004,Legionnaires,3,3960,35
Heart,2000-2004,Legionnaires,4,4410,31
Heart,2000-2004,Legionnaires,5,4800,28
Heart,2000-2004,Legionnaires,6,5090,45
Heart,2000-2004,Legionnaires,7,5310,32
Heart,2000-2004,Legionnaires,8,5530,46
Heart,2000-2004,Legionnaires,9,5730,35
Heart,2000-2004,Legionnaires,10,5920,38
Heart,2000-2004,Legionnaires,11,6110,53
Heart,2000-2004,Legionnaires,12,6280,27
Heart,2000-2004,Legionnaires,13,6460,36
Heart,2000-2004,Legionnaires,14,6630,31
Heart,2000-2004,Legionnaires,15,6770,29
Heart,2000-2004,Legionnaires,16,6920,37
Heart,2000-2004,Legionnaires,17,7120,38
Heart,2000-2004,Legionnaires,18,7380,22
Heart,2000-2004,Legionnaires,19,7730,22
Heart,2000-2004,Legionnaires,20,11100,30
Heart,2005-2009,Legionnaires,1,2700,96
Heart,2005-2009,Legionnaires,2,3520,126
Heart,2005-2009,Legionnaires,3,4100,88
Heart,2005-2009,Legionnaires,4,4560,75
Heart,2005-2009,Legionnaires,5,4920,93
Heart,2005-2009,Legionnaires,6,5190,96
Heart,2005-2009,Legionnaires,7,5430,117
Heart,2005-2009,Legionnaires,8,5630,107
Heart,2005-2009,Legionnaires,9,5830,119
Heart,2005-2009,Legionnaires,10,6020,77
Heart,2005-2009,Legionnaires,11,6190,78
Heart,2005-2009,Legionnaires,12,6370,78
Heart,2005-2009,Legionnaires,13,6540,70
Heart,2005-2009,Legionnaires,14,6680,71
Heart,2005-2009,Legionnaires,15,6800,75
Heart,2005-2009,Legionnaires,16,6950,50
Heart,2005-2009,Legionnaires,17,7160,62
Heart,2005-2009,Legionnaires,18,7400,65
Heart,2005-2009,Legionnaires,19,7730,64
Heart,2005-2009,Legionnaires,20,11100,71
Heart,2010-2014,Legionnaires,1,2790,177
Heart,2010-2014,Legionnaires,2,3620,157
Heart,2010-2014,Legionnaires,3,4160,140
Heart,2010-2014,Legionnaires,4,4610,125
Heart,2010-2014,Legionnaires,5,4960,105
Heart,2010-2014,Legionnaires,6,5210,111
Heart,2010-2014,Legionnaires,7,5440,109
Heart,2010-2014,Legionnaires,8,5640,125
Heart,2010-2014,Legionnaires,9,5840,119
Heart,2010-2014,Legionnaires,10,6030,98
Heart,2010-2014,Legionnaires,11,6200,98
Heart,2010-2014,Legionnaires,12,6370,103
Heart,2010-2014,Legionnaires,13,6540,99
Heart,2010-2014,Legionnaires,14,6680,87
Heart,2010-2014,Legionnaires,15,6800,104
Heart,2010-2014,Legionnaires,16,6950,90
Heart,2010-2014,Legionnaires,17,7160,98
Heart,2010-2014,Legionnaires,18,7390,78
Heart,2010-2014,Legionnaires,19,7700,76
Heart,2010-2014,Legionnaires,20,11100,95
Heart,2015-2019,Legionnaires,1,2910,349
Heart,2015-2019,Legionnaires,2,3790,271
Heart,2015-2019,Legionnaires,3,4320,240
Heart,2015-2019,Legionnaires,4,4720,224
Heart,2015-2019,Legionnaires,5,5040,228
Heart,2015-2019,Legionnaires,6,5250,223
Heart,2015-2019,Legionnaires,7,5450,163
Heart,2015-2019,Legionnaires,8,5630,215
Heart,2015-2019,Legionnaires,9,5820,216
Heart,2015-2019,Legionnaires,10,6000,183
Heart,2015-2019,Legionnaires,11,6160,167
Heart,2015-2019,Legionnaires,12,6320,147
Heart,2015-2019,Legionnaires,13,6490,204
Heart,2015-2019,Legionnaires,14,6640,194
Heart,2015-2019,Legionnaires,15,6770,173
Heart,2015-2019,Legionnaires,16,6900,181
Heart,2015-2019,Legionnaires,17,7080,194
Heart,2015-2019,Legionnaires,18,7340,202
Heart,2015-2019,Legionnaires,19,7670,139
Heart,2015-2019,Legionnaires,20,11100,158
