state_name,Region,incidence.9201,cases.9201,incidence.1519,cases.1519,incidence.all,cases.all,cases.ratio,incidence.ratio,incidence.diff,fips,abbr,cases.MFB
South Dakota,6,0.418896445690684,3.1,2.06744036410841,18,0.920210239170309,7.28571428571429,5.80645161290323,4.93544498975057,1.64854391841772,46,SD,1.41232227488152
Tennessee,3,0.487806359651161,26.5,2.30126381115996,154.4,1.08500039717069,65.2857142857143,5.82641509433962,4.71757648425419,1.8134574515088,47,TN,1.41404090657822
Texas,5,0.106902804083057,20.9,1.22076976490296,345,0.527266559340843,122.857142857143,16.5071770334928,11.4194363316653,1.1138669608199,48,TX,1.77152227384531
Utah,7,0.649186869402116,13.5,1.05914053458052,32.8,0.855390052057282,21.5714285714286,2.42962962962963,1.6314879189654,0.409953665178403,49,UT,0.833693304535637
Vermont,1,0.976230964127383,5.8,2.53078264613508,15.8,1.61976353899455,9.92857142857143,2.72413793103448,2.59240153112461,1.5545516820077,50,VT,0.925925925925926
Virginia,2,0.466360909469682,31.7,2.14561278014973,181.4,1.05702832923183,80.0357142857143,5.72239747634069,4.60075605948533,1.67925187068005,51,VA,1.40497419052088
Washington,8,0.262272165106858,14.7,0.834671508949948,61.8,0.444983724565961,28.3214285714286,4.20408163265306,3.18246318136687,0.57239934384309,53,WA,1.23137254901961
West Virginia,3,0.0661304880176516,1.2,3.57672881187122,65,1.26007768652867,23,,54.0859279749534,3.51059832385357,54,WV,1.92749244712991
Wisconsin,4,0.913326255500689,47.8,3.3570961864009,194.4,1.46070967883399,80.5357142857143,4.06694560669456,3.67568124334773,2.44376993090021,55,WI,1.21056977704377
Wyoming,6,0.803474801897107,3.9,0.654017959333163,3.8,0.66118155843192,3.5,0.974358974358974,0.813986895157064,-0.149456842563944,56,WY,-0.025974025974026
